id,name,description
1_1,Stone,Basic material that forms the earth's crust. Essential for primitive tools.
1_2,Wood,Natural material obtained from trees. Used for fuel and basic construction.
1_3,Raw Meat,Meat obtained from hunting animals. Can be eaten after cooking.
1_4,Animal Hide,Leather from hunted animals. Used for clothing and shelter.
1_5,Bone,Hard material from animals. Used for tools and weapons.
1_6,Flint,A hard stone that produces sparks. Used for making fire.
1_7,Plant Fiber,Fibers from plants. Used for making rope and simple textiles.
1_8,Clay,Soil composed of fine particles. Raw material for pottery.
1_9,Reed,A tall grass that grows near water. Used for weaving.
1_10,Shell,Hard outer covering of marine animals. Used for decoration and tools.
1_11,Obsidian,Volcanic glass with sharp edges. Used for cutting tools.
1_12,Charcoal,Burned wood used as fuel. Burns hotter and longer than wood.
1_13,Stone Axe,A basic tool made of stone and wood. Used for cutting.
1_14,Stone Spear,A weapon made of stone and wood. Used for hunting.
1_15,Stone Knife,A sharp tool made of flint. Used for cutting and skinning.
1_16,Stone Hammer,A tool for breaking and shaping stone.
1_17,Stone Arrowhead,A sharp point for arrows. Used for hunting.
1_18,Hand Drill,A simple tool for making fire by friction.
1_19,Leather Pouch,A container made from animal hide.
1_20,Grass Basket,A container woven from grass or reeds.
1_21,Stone Pot,A container made from carved stone.
1_22,Animal Fat,Grease from animals. Used for cooking and lighting.
1_23,Resin,Sticky substance from trees. Used as adhesive.
1_24,Feather,Light material from birds. Used for arrows and decoration.
1_25,Sinew,Strong fiber from animal tendons. Used for binding.
1_26,Stone Mortar,A bowl for grinding food and materials.
1_27,Stone Pestle,A tool for grinding in a mortar.
1_28,Fire,The controlled use of combustion. Provides light, heat, and protection.
1_29,Smoke,The byproduct of fire. Used for signaling and food preservation.
1_30,Ash,Residue from burned materials. Used for various purposes.
1_31,Water,The source of life. Essential for survival.
1_32,Wild Berries,Edible fruits found in nature.
1_33,Wild Nuts,Edible seeds found in nature.
1_34,Wild Roots,Edible underground plant parts.
1_35,Wild Herbs,Plants used for flavoring and medicine.
1_36,Stone Arrow,A projectile weapon made of stone and wood.
1_37,Stone Club,A simple weapon made of a heavy stone.
1_38,Leather Clothing,Basic clothing made from animal hide.
1_39,Grass Mat,A mat woven from grass. Used for sleeping.
1_40,Animal Skull,A decorative item from hunted animals.
1_41,Stone Bead,A decorative item made from stone.
1_42,Shell Necklace,A decorative item made from shells.
1_43,Stone Figurine,A small sculpture made from stone.
1_44,Cave Painting,Art made on cave walls using natural pigments.
1_45,Animal Call,A tool for imitating animal sounds during hunting.
1_46,Stone Trap,A device for catching animals.
1_47,Fire Pit,A designated area for maintaining fire.
1_48,Stone Shelter,A basic structure made from stones.
1_49,Grass Roof,A roof made from woven grass.
1_50,Stone Marker,A marker made from stone. Used for navigation.
