id,name,description
8_1,Computer,An electronic device that processes information.
8_2,Processor,A chip that executes instructions in a computer.
8_3,Memory,Storage for data and programs in a computer.
8_4,Hard Drive,A device for storing digital data.
8_5,Solid State Drive,A fast storage device using flash memory.
8_6,Graphics Card,A component for rendering images and video.
8_7,Motherboard,The main circuit board of a computer.
8_8,Power Supply,A device that provides electricity to a computer.
8_9,Monitor,A display screen for computers.
8_10,Keyboard,An input device with keys for typing.
8_11,Mouse,An input device for pointing and clicking.
8_12,Operating System,Software that manages computer resources.
8_13,Software,Programs and applications for computers.
8_14,Programming Language,A language for writing computer programs.
8_15,Algorithm,A step-by-step procedure for solving problems.
8_16,Database,A structured collection of data.
8_17,Network,A system for connecting computers.
8_18,Internet,A global network of interconnected computers.
8_19,Router,A device that directs data in a network.
8_20,Modem,A device for connecting to the internet.
8_21,Wi-Fi,Wireless technology for network connectivity.
8_22,Bluetooth,A wireless technology for short-range communication.
8_23,Email,Electronic mail for digital communication.
8_24,Web Browser,Software for accessing the internet.
8_25,Website,A collection of web pages on the internet.
8_26,Search Engine,A tool for finding information on the internet.
8_27,Social Media,Platforms for online social interaction.
8_28,Cloud Computing,Computing services delivered over the internet.
8_29,Server,A computer that provides services to other computers.
8_30,Data Center,A facility housing many servers.
8_31,Artificial Intelligence,Computer systems that can perform tasks requiring intelligence.
8_32,Machine Learning,A method for computers to learn from data.
8_33,Neural Network,A computing system inspired by biological neural networks.
8_34,Robot,An automated machine capable of performing tasks.
8_35,Robotic Arm,A mechanical arm controlled by a computer.
8_36,Automation,The use of technology to perform tasks automatically.
8_37,Sensor,A device that detects and responds to input.
8_38,Actuator,A device that converts signals into motion.
8_39,Control System,A system for managing and regulating processes.
8_40,Programmable Logic Controller,A computer for controlling industrial processes.
8_41,Digital Camera,A camera that captures images digitally.
8_42,Digital Video Camera,A camera that captures video digitally.
8_43,Smartphone,A mobile device combining phone and computer.
8_44,Tablet,A portable computer with a touchscreen.
8_45,Laptop,A portable personal computer.
8_46,Printer,A device for producing physical copies of digital documents.
8_47,Scanner,A device for converting physical documents to digital.
8_48,3D Printer,A device for creating three-dimensional objects.
8_49,Digital Storage,Methods for storing digital information.
8_50,Information Age,The era characterized by the use of information technology.
