id,category,item_type,name,description,materials,requirements,tool_durability,tool_tier,water_requirement
1,鉱物,原料,石,地殻を形成する基本的な材料。原始的な道具と建築に不可欠。,,,,
2,鉱物,原料,粘土,細かい粒子で構成された土。土器と建築の原料。,,,,
3,鉱物,原料,銅鉱石,自然界で見つかる金属鉱石。人類が最初に使用した金属。,,,,
4,鉱物,原料,石炭,炭素が豊富な燃料。木よりも高温で燃える。鉄の精錬に不可欠。,,,,
5,鉱物,原料,鉄鉱石,自然界で見つかる金属鉱石。精製すると青銅より強い。,,,,
6,鉱物,原料,錫鉱石,柔らかい金属鉱石。青銅を作るために使用。,,,,
7,植物,原料,木材,木から得られる天然材料。燃料や基本的な建築に使用。,,,,
8,植物,種,種,作物を育てるための植物の種。農業の基盤。,,,,
9,植物,種,小麦の種,平地で安定して育つ穀物の種。加工前提の作物を育てる。,,,,
10,植物,種,芋の種,痩せた土地でも育つ根菜の種。低技術で単体でも食える。,,,,
11,植物,種,米の種,水辺や湿地で育つ穀物の種。栄養価が高いが水場が必須。,,,NEAR_WATER
12,植物,種,豆の種,土地をあまり消費しない作物の種。輪作に適している。,,,,
13,農作物,作物,作物,収穫された農産物。重要な食料源。,,,,
14,農作物,作物,小麦,収穫された小麦。保存性が高く、加工して粉にする前提。,,,,
15,農作物,作物,芋,収穫された芋。単体で食えるが、加工すると保存性が向上。,,,,
16,農作物,作物,米,収穫された米。栄養価が高く、水場で栽培された穀物。,,,,
17,農作物,作物,飼料用作物,家畜の維持に必要な作物。鉄農具で効率的に生産できる。,,"tool:49",,
18,農作物,作物,乾草,保存性が高い飼料。家畜の長期飼育に不可欠。,,,,
19,動物,動物,鶏,家禽として飼育される鳥。卵と肉を提供する。,,,,
20,動物,動物,豚,雑食性の家畜。美味な肉を提供する。,,,,
21,動物,動物,羊,毛と肉を提供する家畜。羊毛は衣類の材料になる。,,,,
22,動物,動物,山羊,山岳地帯で飼育される家畜。ミルクと肉を提供する。,,,,
23,動物,動物,牛,大型の家畜。高品質な肉とミルクを提供する。,,,,
24,動物,動物,馬,乗用や運搬に使用される大型の家畜。肉も提供する。,,,,
25,畜産物,食料,鶏肉,鶏から得られる肉。重要なタンパク質源。,,,,
26,畜産物,食料,卵,鶏が産む卵。栄養価が高い。,,,,
27,畜産物,食料,豚肉,豚から得られる肉。美味で栄養価が高い。,,,,
28,畜産物,食料,羊肉,羊から得られる肉。柔らかく風味豊か。,,,,
29,畜産物,原料,羊毛,羊から得られる毛。衣類の材料。,,,,
30,畜産物,食料,山羊肉,山羊から得られる肉。独特の風味がある。,,,,
31,畜産物,食料,ヤギミルク,山羊から得られるミルク。栄養価が高い。,,,,
32,畜産物,食料,牛肉,牛から得られる肉。高品質なタンパク質源。,,,,
33,畜産物,食料,牛乳,牛から得られるミルク。栄養価が非常に高い。,,,,
34,畜産物,食料,馬肉,馬から得られる肉。一部の文化で珍重される。,,,,
35,中間素材,加工品,燃料,燃焼してエネルギーを生成する物質。炉の加熱に使用。,,,,
36,中間素材,加工品,土器,粘土を焼いて作られた硬い容器。食料の保存に使用。,"2:1,34:1",,,
37,中間素材,加工品,鉄インゴット,精製された鉄の塊。加工に適した形状。鉄製工具と恒久建築物に不可欠。,"5:1,4:1","facility:50",,
38,中間素材,加工品,銅インゴット,精製された銅の塊。青銅作りに使用。,"3:1,35:1","facility:50",,
39,中間素材,加工品,錫インゴット,精製された錫の塊。青銅合金に使用。,"6:1,35:1","facility:50",,
40,中間素材,加工品,青銅,銅と錫の合金。純銅よりも硬い。古代から使用されている。,"38:1,39:1",,,
41,中間素材,加工品,粉,小麦を挽いて作った粉。パンなどの加工食品の原料。,"14:1","tool:51",,
42,中間素材,食料,パン,粉を焼いて作ったパン。保存性が高く栄養価も優れている。,"41:1","facility:50",,
43,中間素材,食料,干し肉,肉を乾燥させた保存食。長期保存が可能で栄養価が高い。,"26:1,34:1",,,
44,中間素材,食料,乾燥作物,作物を乾燥させた保存食。土器を使って長期保存が可能。,"13:1,36:1",,,
45,道具,道具,簡易農具,木と石で作られた原始的な農具。農業の基本だが収穫量は低い。,"1:1,7:1",,10,1,
46,道具,道具,青銅農具,青銅製の農具。耐久性が向上し、不作を防ぐ。,"40:1,7:1",,30,2,
47,道具,道具,鉄農具,鉄製の農具。安定した大量生産を可能にする。,"37:2,7:1",,100,3,
48,施設,施設,炉,高温で材料を加熱する構造物。精錬と土器の焼成に使用。,,,,
49,施設,施設,貯蔵容器,食料と材料を保存する構造物。食料の備蓄に不可欠。,"7:3,1:2",,,
50,施設,施設,恒久建築物,鉄で作られた耐久性のある建物。高度な文明を表す。,"37:5,1:3",,,
