id,name,description
2_1,Wheat,A grain crop. The foundation of agriculture.
2_2,Corn,A staple crop. Provides food and materials.
2_3,Rice,A grain crop grown in water. A major food source.
2_4,Barley,A grain used for food and brewing.
2_5,Potato,A root vegetable. A reliable food source.
2_6,Carrot,A root vegetable rich in nutrients.
2_7,Cotton,A plant that produces soft fibers. Used for textiles.
2_8,Flax,A plant that produces strong fibers. Used for linen.
2_9,Sheep,A domesticated animal. Provides wool and meat.
2_10,Cow,A domesticated animal. Provides milk, meat, and leather.
2_11,Pig,A domesticated animal. Provides meat.
2_12,Chicken,A domesticated bird. Provides eggs and meat.
2_13,Goat,A domesticated animal. Provides milk and meat.
2_14,Donkey,A domesticated animal. Used for transportation.
2_15,Pottery,A container made from fired clay. Used for storage.
2_16,Ceramic Bowl,A bowl made from fired clay.
2_17,Ceramic Pot,A pot made from fired clay. Used for cooking.
2_18,Ceramic Vase,A decorative container made from fired clay.
2_19,Brick,A building block made by firing clay.
2_20,Tile,A flat piece of fired clay. Used for roofing.
2_21,Plow,A tool for tilling soil. Revolutionizes agriculture.
2_22,Hoe,A tool for breaking up soil and removing weeds.
2_23,Sickle,A curved blade for harvesting crops.
2_24,Winnowing Basket,A basket for separating grain from chaff.
2_25,Quern Stone,A stone tool for grinding grain into flour.
2_26,Flour,Ground grain. Used for making bread.
2_27,Bread,A staple food made from flour and water.
2_28,Cheese,A dairy product made from milk.
2_29,Yogurt,A fermented dairy product.
2_30,Butter,A dairy product made from cream.
2_31,Wool,Soft fiber from sheep. Used for textiles.
2_32,Linen,Strong fabric made from flax fibers.
2_33,Cotton Cloth,Soft fabric made from cotton.
2_34,Leather,Processed animal hide. Used for clothing and tools.
2_35,Rope,A strong cord made from plant fibers.
2_36,Net,A mesh made from rope. Used for fishing.
2_37,Fishing Hook,A hook for catching fish.
2_38,Fishing Rod,A tool for fishing.
2_39,Weaving Loom,A device for weaving fabric from threads.
2_40,Spindle,A tool for spinning fibers into thread.
2_41,Spinning Wheel,A device for spinning fibers more efficiently.
2_42,Needle,A tool for sewing. Made from bone or metal.
2_43,Thread,A thin cord used for sewing.
2_44,Embroidery,Decorative stitching on fabric.
2_45,Pottery Wheel,A device for shaping clay into pottery.
2_46,Kiln,A furnace for firing pottery and bricks.
2_47,Irrigation Canal,A channel for bringing water to fields.
2_48,Water Wheel,A device that uses flowing water for power.
2_49,Millstone,A large stone for grinding grain.
2_50,Grain Silo,A storage structure for grain.
