id,name,description
6_1,Steam Engine,A machine that converts steam into mechanical power.
6_2,Boiler,A vessel for generating steam under pressure.
6_3,Steam Turbine,A device that converts steam into rotational motion.
6_4,Steam Locomotive,A train powered by steam. Revolutionizes transportation.
6_5,Railroad Track,A path for trains. Enables rapid land transport.
6_6,Train Car,A vehicle that runs on rails.
6_7,Steam Ship,A ship powered by steam. Independent of wind.
6_8,Steam Hammer,A large hammer powered by steam.
6_9,Steam Pump,A pump powered by steam.
6_10,Steam Press,A machine for pressing materials using steam.
6_11,Coal Mine,A facility for extracting coal from the earth.
6_12,Mining Equipment,Tools and machinery for extracting resources.
6_13,Blast Furnace,A furnace for smelting iron using coal.
6_14,Steel Mill,A facility for producing steel on a large scale.
6_15,Factory,A building for mass production using machines.
6_16,Assembly Line,A method of production where items move through stations.
6_17,Machine Tool,A tool for making other machines.
6_18,Lathe,A machine for shaping materials by rotation.
6_19,Milling Machine,A machine for cutting and shaping materials.
6_20,Drill Press,A machine for drilling precise holes.
6_21,Power Loom,A machine for weaving fabric automatically.
6_22,Spinning Jenny,A machine for spinning multiple threads.
6_23,Cotton Gin,A machine for separating cotton from seeds.
6_24,Sewing Machine,A machine for stitching fabric.
6_25,Textile Mill,A factory for producing textiles.
6_26,Steam Boiler,A device for generating steam.
6_27,Pressure Gauge,A device for measuring pressure.
6_28,Steam Valve,A device for controlling steam flow.
6_29,Safety Valve,A valve that releases pressure automatically.
6_30,Steam Whistle,A device that produces sound using steam.
6_31,Steam Gauge,A device for monitoring steam pressure.
6_32,Steam Pipe,A pipe for transporting steam.
6_33,Steam Trap,A device for removing condensate from steam.
6_34,Steam Jacket,A heated enclosure for maintaining temperature.
6_35,Industrial Chimney,A tall structure for venting smoke.
6_36,Smokestack,A pipe for venting exhaust gases.
6_37,Industrial Complex,A large area with multiple factories.
6_38,Workers' Housing,Housing built for factory workers.
6_39,Canals,Artificial waterways for transportation.
6_40,Locks,A device for raising and lowering boats in canals.
6_41,Steam Crane,A crane powered by steam.
6_42,Steam Excavator,A machine for digging powered by steam.
6_43,Steam Roller,A machine for compacting roads.
6_44,Asphalt,A material for paving roads.
6_45,Concrete,A building material made from cement and aggregates.
6_46,Cement,A binding material used in concrete.
6_47,Steel Beam,A structural element made from steel.
6_48,Steel Frame,A framework made from steel beams.
6_49,Skyscraper,A very tall building made possible by steel frames.
6_50,Industrial Revolution,The transformation to machine-based manufacturing.
