id,name,description
3_1,Copper Ore,A metal ore found in nature. The first metal used by humans.
3_2,Tin Ore,A soft metal ore. Used to make bronze.
3_3,Bronze,An alloy of copper and tin. Harder than pure copper.
3_4,Copper Ingot,A block of refined copper.
3_5,Tin Ingot,A block of refined tin.
3_6,Bronze Sword,A weapon made from bronze. Superior to stone weapons.
3_7,Bronze Axe,A tool made from bronze. More durable than stone.
3_8,Bronze Spear,A weapon made from bronze.
3_9,Bronze Shield,A defensive item made from bronze.
3_10,Bronze Helmet,Protective headgear made from bronze.
3_11,Bronze Armor,Protective clothing made from bronze.
3_12,Bronze Chisel,A tool for carving and shaping.
3_13,Bronze Saw,A cutting tool made from bronze.
3_14,Bronze Nail,A fastener made from bronze.
3_15,Bronze Mirror,A polished bronze surface that reflects light.
3_16,Bronze Coin,A form of currency made from bronze.
3_17,Wheel,A circular device that enables transportation.
3_18,Cart,A vehicle with wheels. Used for transporting goods.
3_19,Chariot,A two-wheeled vehicle pulled by animals. Used in warfare.
3_20,Road,A paved path for easier travel.
3_21,Bridge,A structure for crossing rivers and valleys.
3_22,Architecture,The art of designing and constructing buildings.
3_23,Column,A vertical support structure. Used in buildings.
3_24,Stone Block,A precisely cut stone. Used in construction.
3_25,Lime Mortar,A binding material made from lime. Used in construction.
3_26,City Wall,A defensive structure surrounding a city.
3_27,Gate,A fortified entrance to a city.
3_28,Tower,A tall structure for observation and defense.
3_29,Temple,A building for religious worship.
3_30,Palace,A grand building for rulers.
3_31,Writing System,A method of recording information.
3_32,Clay Tablet,A writing surface made from clay.
3_33,Stylus,A tool for writing on clay tablets.
3_34,Seal,A carved object used to mark documents.
3_35,Scroll,A rolled document made from papyrus or parchment.
3_36,Papyrus,A writing material made from reeds.
3_37,Ink,A liquid used for writing.
3_38,Calendar,A system for tracking time and seasons.
3_39,Mathematics,The study of numbers and calculations.
3_40,Abacus,A calculating tool using beads.
3_41,Compass,A tool for navigation using magnetic fields.
3_42,Map,A representation of geographical features.
3_43,Currency,A standardized medium of exchange.
3_44,Marketplace,A place for trade and commerce.
3_45,Merchant,A person who trades goods.
3_46,Trade Route,A path used for commercial exchange.
3_47,Scale,A tool for weighing goods.
3_48,Weights,A standardized set for measuring weight.
3_49,Standardized Measure,A consistent unit of measurement.
3_50,Legal Code,A written system of laws.
