id,name,description
4_1,Iron Ore,A metal ore. Stronger than bronze when refined.
4_2,Coal,A fuel rich in carbon. Burns hotter than wood.
4_3,Iron Ingot,A block of refined iron. The foundation of iron age.
4_4,Steel,An alloy of iron and carbon. Stronger than iron.
4_5,Iron Sword,A weapon made from iron. Superior to bronze.
4_6,Iron Axe,A tool made from iron. More durable than bronze.
4_7,Iron Spear,A weapon made from iron.
4_8,Iron Shield,A defensive item made from iron.
4_9,Iron Armor,Protective clothing made from iron.
4_10,Iron Helmet,Protective headgear made from iron.
4_11,Iron Nail,A fastener made from iron.
4_12,Iron Chain,A series of connected iron links.
4_13,Iron Lock,A device for securing doors and chests.
4_14,Iron Key,A tool for operating locks.
4_15,Anvil,A heavy iron block for shaping metal.
4_16,Forge,A furnace for heating and working metal.
4_17,Hammer,A tool for shaping metal.
4_18,Tongs,A tool for holding hot metal.
4_19,File,A tool for smoothing and shaping metal.
4_20,Drill,A tool for making holes in materials.
4_21,Horseshoe,A metal shoe for horses. Protects hooves.
4_22,Iron Plow,A farming tool made from iron. More efficient than bronze.
4_23,Iron Hoe,A tool for farming made from iron.
4_24,Iron Scythe,A tool for harvesting crops.
4_25,Water Mill,A mill powered by water. Used for grinding grain.
4_26,Windmill,A mill powered by wind. Used for grinding grain.
4_27,Mechanical Clock,A device that measures time using gears.
4_28,Gear,A toothed wheel that transmits motion.
4_29,Pulley,A wheel with a rope. Used for lifting heavy objects.
4_30,Lever,A simple machine for moving heavy objects.
4_31,Wedge,A simple tool for splitting materials.
4_32,Screw,A threaded fastener. Used for joining materials.
4_33,Spring,A device that stores mechanical energy.
4_34,Catapult,A siege weapon that launches projectiles.
4_35,Ballista,A large crossbow-like siege weapon.
4_36,Siege Tower,A mobile structure for attacking fortifications.
4_37,Battering Ram,A large log for breaking down gates.
4_38,Crossbow,A ranged weapon more powerful than a bow.
4_39,Longbow,A powerful bow for long-range combat.
4_40,Arrows,Projectiles for bows and crossbows.
4_41,Chainmail,Protective armor made from interlocked rings.
4_42,Plate Armor,Protective armor made from metal plates.
4_43,Shield,A defensive item for blocking attacks.
4_44,Sword,A bladed weapon for close combat.
4_45,Axe,A weapon and tool with a blade.
4_46,Spear,A long weapon with a pointed tip.
4_47,Dagger,A short bladed weapon.
4_48,Mace,A weapon with a heavy head on a handle.
4_49,War Hammer,A weapon combining a hammer and a spike.
4_50,Book,A bound collection of written pages.
